rank,personName,age,finalWorth,category,countryOfCitizenship,selfMade,gender,continent,Age Classification
601,Mark Shoen,71,4700,Automotive,United States,FALSE,M,North America,old age
601,Andrei Skoch & family,56,4700,Metals & Mining,Russia,TRUE,M,Europe,middle age
601,Fred Smith,77,4700,Logistics,United States,TRUE,M,North America,old age
601,Murat Ulker,63,4700,Food & Beverage,Turkey,FALSE,M,Europe,old age
601,Yu Yong,61,4700,Finance & Investments,China,TRUE,M,Asia,old age
622,Stéphane Bancel,49,4600,Healthcare,France,TRUE,M,Europe,middle age
622,Bubba Cathy,67,4600,Food & Beverage,United States,FALSE,M,North America,old age
622,Dan Cathy,69,4600,Food & Beverage,United States,FALSE,M,North America,old age
622,Trudy Cathy White,66,4600,Food & Beverage,United States,FALSE,F,North America,old age
622,Jason Chang,77,4600,Technology,Singapore,TRUE,M,Asia,old age
622,Dagmar Dolby & family,80,4600,Technology,United States,FALSE,F,North America,old age
622,Bruce Flatt,56,4600,Finance & Investments,Canada,TRUE,M,North America,middle age
622,Masatoshi Ito,97,4600,Fashion & Retail,Japan,TRUE,M,Asia,old age
622,Viatcheslav Kantor,68,4600,Manufacturing,Russia,TRUE,M,Europe,old age
622,Min Kao & family,73,4600,Technology,United States,TRUE,M,North America,old age
622,Lin Xiucheng & family,66,4600,Technology,China,TRUE,M,Asia,old age
622,Sami Mnaymneh,60,4600,Finance & Investments,United States,TRUE,M,North America,middle age
622,Tony Tamer,64,4600,Finance & Investments,United States,TRUE,M,North America,old age
622,Richard White,67,4600,Technology,Australia,TRUE,M,Australia,old age
622,Baoguo Zhu & family,59,4600,Healthcare,China,TRUE,M,Asia,middle age
637,Michael Ashley,57,4500,Fashion & Retail,United Kingdom,TRUE,M,Europe,middle age
637,Ron Baron,78,4500,Finance & Investments,United States,TRUE,M,North America,old age
637,Bert Beveridge,60,4500,Food & Beverage,United States,TRUE,M,North America,middle age
637,Todd Boehly,48,4500,Finance & Investments,United States,TRUE,M,North America,middle age
637,David Bonderman,79,4500,Finance & Investments,United States,TRUE,M,North America,old age
637,Guo Guangchang,55,4500,Diversified,China,TRUE,M,Asia,middle age
637,Daryl Katz,60,4500,Diversified,Canada,TRUE,M,North America,middle age
637,Ted Lerner & family,96,4500,Real Estate,United States,TRUE,M,North America,old age
637,Falguni Nayar,59,4500,Fashion & Retail,India,TRUE,F,Asia,middle age
637,Trevor Rees-Jones,70,4500,Energy,United States,TRUE,M,North America,old age
637,J. Joe Ricketts & family,80,4500,Finance & Investments,United States,TRUE,M,North America,old age
637,Robert Rowling,68,4500,Service,United States,FALSE,M,North America,old age
637,Mark Stevens,62,4500,Finance & Investments,United States,TRUE,M,North America,old age
637,Gustav Magnar Witzoe,28,4500,Food & Beverage,Norway,FALSE,M,Europe,youth
637,Xie Liangzhi & family,56,4500,Healthcare,China,TRUE,M,Asia,middle age
637,Yeung Kin-man,58,4500,Manufacturing,Hong Kong,TRUE,M,,middle age
637,Zhang Hejun,,4500,Manufacturing,China,TRUE,M,Asia,NA
654,Andrej Babis,67,4400,Food & Beverage,Czechia,TRUE,M,Europe,old age
654,Giuseppe De'Longhi & family,82,4400,Fashion & Retail,Italy,FALSE,M,Europe,old age
654,Barry Diller,80,4400,Media & Entertainment,United States,TRUE,M,North America,old age
654,Christian Haub,57,4400,Fashion & Retail,Germany,FALSE,M,Europe,middle age
654,Huang Li,58,4400,Technology,China,TRUE,M,Asia,middle age
654,Marian Ilitch,89,4400,Food & Beverage,United States,TRUE,F,North America,old age
654,Suleiman Kerimov & family,56,4400,Finance & Investments,Russia,TRUE,M,Europe,middle age
654,Edwin Leong,70,4400,Real Estate,Hong Kong,TRUE,M,,old age
654,Lu Yiwen,35,4400,Fashion & Retail,China,TRUE,F,Asia,youth
654,N.R. Narayana Murthy,75,4400,Technology,India,TRUE,M,Asia,old age
654,Yang Jianliang & family,52,4400,Manufacturing,China,TRUE,M,Asia,middle age
665,Pyotr Aven,67,4300,Finance & Investments,Russia,TRUE,M,Europe,old age
665,Joesley Batista,50,4300,Food & Beverage,Brazil,FALSE,M,South America,middle age
665,Wesley Batista,49,4300,Food & Beverage,Brazil,FALSE,M,South America,middle age
665,Margot Birmingham Perot,88,4300,Technology,United States,FALSE,F,North America,old age
665,Rick Caruso,63,4300,Real Estate,United States,TRUE,M,North America,old age
665,Jim Davis,62,4300,Service,United States,TRUE,M,North America,old age
665,Walter P.J. Droege,69,4300,Finance & Investments,Germany,TRUE,M,Europe,old age
665,Dan Friedkin,57,4300,Automotive,United States,FALSE,M,North America,middle age
665,Gao Dekang & family,70,4300,Fashion & Retail,China,TRUE,M,Asia,old age
665,Antti Herlin,65,4300,Manufacturing,Finland,FALSE,M,Europe,old age
665,W. Herbert Hunt,93,4300,Energy,United States,FALSE,M,North America,old age
665,Jason Jiang,49,4300,Media & Entertainment,China,TRUE,M,Asia,middle age
665,"Rupert Johnson, Jr.",81,4300,Finance & Investments,United States,FALSE,M,North America,old age
665,Vikram Lal & family,80,4300,Automotive,India,FALSE,M,Asia,old age
665,Lam Wai-ying,,4300,Manufacturing,Hong Kong,TRUE,F,,NA
665,Chris Larsen,61,4300,Finance & Investments,United States,TRUE,M,North America,old age
665,Richard Schulze,81,4300,Fashion & Retail,United States,TRUE,M,North America,old age
665,Paul Singer,77,4300,Finance & Investments,United States,TRUE,M,North America,old age
665,Barry Sternlicht,61,4300,Finance & Investments,United States,TRUE,M,North America,old age
665,Su Hua,40,4300,Media & Entertainment,China,TRUE,M,Asia,youth
665,Mark Walter,61,4300,Finance & Investments,United States,TRUE,M,North America,old age
665,Ty Warner,77,4300,Real Estate,United States,TRUE,M,North America,old age
687,Rinat Akhmetov,55,4200,Metals & Mining,Ukraine,TRUE,M,Europe,middle age
687,Martin & Olivier Bouygues,,4200,Construction & Engineering,France,FALSE,M,Europe,NA
687,Bernard Broermann,78,4200,Healthcare,Germany,TRUE,M,Europe,old age
687,Mong-Koo Chung,84,4200,Automotive,South Korea,FALSE,M,Asia,old age
687,Daniel D'Aniello,75,4200,Finance & Investments,United States,TRUE,M,North America,old age
687,Traudl Engelhorn & family,95,4200,Healthcare,Germany,FALSE,F,Europe,old age
687,Piero Ferrari,76,4200,Automotive,Italy,FALSE,M,Europe,old age
687,Carlo Fidani,67,4200,Real Estate,Canada,FALSE,M,North America,old age
687,Yakir Gabay,55,4200,Real Estate,Cyprus,TRUE,M,Europe,middle age
687,Jaime Gilinski Bacal,64,4200,Finance & Investments,Colombia,FALSE,M,South America,old age
687,Bertil Hult,81,4200,Service,Sweden,TRUE,M,Europe,old age
687,Martha Ingram & family,86,4200,Media & Entertainment,United States,FALSE,F,North America,old age
687,Lee Yin Yee,70,4200,Manufacturing,China,TRUE,M,Asia,old age
687,Daniel Loeb,60,4200,Finance & Investments,United States,TRUE,M,North America,middle age
687,Janice McNair,85,4200,Sports,United States,FALSE,F,North America,old age
687,Ajay Piramal,66,4200,Healthcare,India,FALSE,M,Asia,old age
687,Lynsi Snyder,39,4200,Food & Beverage,United States,FALSE,F,North America,youth
687,Peter Spuhler,62,4200,Manufacturing,Switzerland,TRUE,M,Europe,old age
687,Kerry Stokes,81,4200,Diversified,Australia,TRUE,M,Australia,old age
687,Jon Stryker,63,4200,Healthcare,United States,FALSE,M,North America,old age
687,Vincent Viola,66,4200,Finance & Investments,United States,TRUE,M,North America,old age
687,Romesh T. Wadhwani,74,4200,Technology,United States,TRUE,M,North America,old age
709,Juan Domingo Beckmann Legorreta & family,54,4100,Food & Beverage,Mexico,FALSE,M,North America,middle age
709,Rafael Del Pino,63,4100,Construction & Engineering,Spain,FALSE,M,Europe,old age
709,Sergey Dmitriev,56,4100,Technology,Russia,TRUE,M,Europe,middle age
709,Senapathy Gopalakrishnan,67,4100,Technology,India,TRUE,M,Asia,old age
709,James Irving,94,4100,Diversified,Canada,FALSE,M,North America,old age
709,Lee Boo-jin,51,4100,Service,South Korea,FALSE,F,Asia,middle age
709,Samuel Tak Lee,82,4100,Real Estate,Hong Kong,FALSE,M,,old age
709,Thai Lee,63,4100,Technology,United States,TRUE,F,North America,old age
709,Eric Lefkofsky,52,4100,Technology,United States,TRUE,M,North America,middle age
709,Weiguo Li,57,4100,Manufacturing,China,TRUE,M,Asia,middle age
709,Ermirio Pereira de Moraes & family,89,4100,Diversified,Brazil,FALSE,M,South America,old age
709,Maria Helena Moraes Scripilliti & family,91,4100,Diversified,Brazil,FALSE,F,South America,old age
709,Augusto & Giorgio Perfetti,,4100,Food & Beverage,Italy,FALSE,M,Europe,NA
709,Thomas Secunda,67,4100,Media & Entertainment,United States,TRUE,M,North America,old age
709,Shaul Shani,67,4100,Telecom,Israel,TRUE,M,Asia,old age
709,E. Joe Shoen,72,4100,Automotive,United States,FALSE,M,North America,old age
709,Steven Udvar-Hazy,76,4100,Service,United States,TRUE,M,North America,old age
709,Russ Weiner,51,4100,Food & Beverage,United States,TRUE,M,North America,middle age
709,Guanjiang Wu & family,53,4100,Healthcare,China,TRUE,M,Asia,middle age
728,Anil Agarwal & family,68,4000,Metals & Mining,India,TRUE,M,Asia,old age
728,Somphote Ahunai,54,4000,Energy,Thailand,TRUE,M,Asia,middle age
728,Patrizio Bertelli,76,4000,Fashion & Retail,Italy,TRUE,M,Europe,old age
728,Rakesh Gangwal,68,4000,Service,United States,TRUE,M,North America,old age
728,Paul Gauselmann & family,87,4000,Gambling & Casinos,Germany,TRUE,M,Europe,old age
728,Hao Hong,66,4000,Healthcare,United States,TRUE,M,North America,old age
728,He Xiaopeng,44,4000,Automotive,China,TRUE,M,Asia,youth
728,Michael Herz,78,4000,Fashion & Retail,Germany,FALSE,M,Europe,old age
728,Wolfgang Herz,71,4000,Fashion & Retail,Germany,FALSE,M,Europe,old age
728,Arthur Irving,92,4000,Energy,Canada,FALSE,M,North America,old age
728,Victor Jacobsson,40,4000,Finance & Investments,Sweden,TRUE,M,Europe,youth
728,Marc Ladreit de Lacharriere,81,4000,Finance & Investments,France,TRUE,M,Europe,old age
728,Patrick Lee,80,4000,Manufacturing,Hong Kong,TRUE,M,,old age
728,Max Lytvyn,42,4000,Technology,Canada,TRUE,M,North America,youth
728,Gilles Martin,58,4000,Healthcare,France,TRUE,M,Europe,middle age
728,Ramzi Musallam,53,4000,Finance & Investments,United States,TRUE,M,North America,middle age
728,Georg Nemetschek & family,88,4000,Technology,Germany,TRUE,M,Europe,old age
728,Akio Nitori,78,4000,Fashion & Retail,Japan,TRUE,M,Asia,old age
728,Daniel Och,61,4000,Finance & Investments,United States,TRUE,M,North America,old age
728,Pankaj Patel,69,4000,Healthcare,India,FALSE,M,Asia,old age
728,John Paulson,66,4000,Finance & Investments,United States,TRUE,M,North America,old age
728,Miuccia Prada,72,4000,Fashion & Retail,Italy,FALSE,F,Europe,old age
728,Jean (Gigi) Pritzker,59,4000,Service,United States,FALSE,F,North America,middle age
728,Juan Roig,72,4000,Fashion & Retail,Spain,FALSE,M,Europe,old age
728,David Rubenstein,72,4000,Finance & Investments,United States,TRUE,M,North America,old age
728,Howard Schultz,68,4000,Food & Beverage,United States,TRUE,M,North America,old age
728,Alex Shevchenko,42,4000,Technology,Canada,TRUE,M,North America,youth
728,Dan Snyder,57,4000,Sports,United States,TRUE,M,North America,middle age
728,Jerzy Starak,74,4000,Healthcare,Poland,TRUE,M,Europe,old age
728,Udo & Harald Tschira,,4000,Technology,Germany,FALSE,M,Europe,NA
728,Kelcy Warren,66,4000,Energy,United States,TRUE,M,North America,old age
728,Herbert Wertheim,82,4000,Finance & Investments,United States,TRUE,M,North America,old age
728,Cameron Winklevoss,40,4000,Finance & Investments,United States,TRUE,M,North America,youth
728,Tyler Winklevoss,40,4000,Finance & Investments,United States,TRUE,M,North America,youth
728,Denise York & family,71,4000,Sports,United States,FALSE,F,North America,old age
728,Zhao Lixin,56,4000,Technology,China,TRUE,M,Asia,middle age
764,Hubert Burda,82,3900,Media & Entertainment,Germany,FALSE,M,Europe,old age
764,Francesco Gaetano Caltagirone,79,3900,Construction & Engineering,Italy,TRUE,M,Europe,old age
764,Marcos Galperin,,3900,Technology,Argentina,TRUE,M,South America,NA
764,Li Xiang,40,3900,Automotive,China,TRUE,M,Asia,youth
764,"Stephen Mandel, Jr.",66,3900,Finance & Investments,United States,TRUE,M,North America,old age
764,Gabe Newell,59,3900,Gambling & Casinos,United States,TRUE,M,North America,middle age
764,Maja Oeri,67,3900,Healthcare,Switzerland,FALSE,F,Europe,old age
764,Paolo & Gianfelice Mario Rocca,,3900,Metals & Mining,Italy,FALSE,M,Europe,NA
764,Neil Shen,54,3900,Finance & Investments,China,TRUE,M,Asia,middle age
764,Helmut Sohmen,82,3900,Logistics,Austria,FALSE,M,Europe,old age
764,Donald Sterling,87,3900,Real Estate,United States,TRUE,M,North America,old age
764,Don Vultaggio & family,70,3900,Food & Beverage,United States,TRUE,M,North America,old age
764,Yiling Wu,72,3900,Healthcare,China,TRUE,M,Asia,old age
764,Gongshan Zhu,64,3900,Manufacturing,China,TRUE,M,Asia,old age
778,Gayle Benson,75,3800,Sports,United States,FALSE,F,North America,old age
778,"William Conway, Jr.",72,3800,Finance & Investments,United States,TRUE,M,North America,old age
778,Gurbachan Singh Dhingra,71,3800,Manufacturing,India,TRUE,M,Asia,old age
778,Kuldip Singh Dhingra,74,3800,Manufacturing,India,TRUE,M,Asia,old age
778,Luca Garavoglia,53,3800,Food & Beverage,Italy,FALSE,M,Europe,middle age
778,Vinod & Anil Rai Gupta,,3800,Manufacturing,India,FALSE,,Asia,NA
778,Jimmy Haslam,68,3800,Fashion & Retail,United States,FALSE,M,North America,old age
778,Susan Carol Holland,65,3800,Manufacturing,Italy,FALSE,F,Europe,old age
778,Timur Kulibaev,55,3800,Finance & Investments,Kazakhstan,TRUE,M,Europe,middle age
778,Dinara Kulibaeva,54,3800,Finance & Investments,Kazakhstan,FALSE,F,Europe,middle age
778,Michel Leclercq & family,82,3800,Fashion & Retail,France,FALSE,M,Europe,old age
778,Pablo Legorreta,58,3800,Finance & Investments,United States,TRUE,M,North America,middle age
778,Margarita Louis-Dreyfus & family,59,3800,Food & Beverage,Switzerland,FALSE,F,Europe,middle age
778,Michael Milken,75,3800,Finance & Investments,United States,TRUE,M,North America,old age
778,Denis O'Brien,63,3800,Telecom,Ireland,TRUE,M,Europe,old age
778,Katharina Otto-Bernstein,58,3800,Real Estate,Germany,FALSE,F,Europe,middle age
778,James Packer,54,3800,Gambling & Casinos,Australia,FALSE,M,Australia,middle age
778,Sergio Stevanato & family,79,3800,Healthcare,Italy,TRUE,M,Europe,old age
778,Leena Tewari,64,3800,Healthcare,India,FALSE,F,Asia,old age
778,Yitzhak Tshuva,73,3800,Real Estate,Israel,TRUE,M,Asia,old age
778,Paul-Heinz Wesjohann & family,78,3800,Food & Beverage,Germany,TRUE,M,Europe,old age
778,Zeng Fangqin,56,3800,Technology,China,TRUE,F,Asia,middle age
778,Zhou Bajin,86,3800,Manufacturing,China,TRUE,M,Asia,old age
801,William Berkley,75,3700,Finance & Investments,United States,TRUE,M,North America,old age
801,John Catsimatidis,73,3700,Energy,United States,TRUE,M,North America,old age
801,Che Jianxing,55,3700,Fashion & Retail,China,TRUE,M,Asia,middle age
801,Gustavo Denegri,85,3700,Healthcare,Italy,TRUE,M,Europe,old age
801,Charles Edelstenne,84,3700,Manufacturing,France,TRUE,M,Europe,old age
801,Reed Hastings,61,3700,Media & Entertainment,United States,TRUE,M,North America,old age
801,"Amos Hostetter, Jr.",85,3700,Media & Entertainment,United States,TRUE,M,North America,old age
801,Brad Jacobs,65,3700,Logistics,United States,TRUE,M,North America,old age
801,Friedrich Knapp,70,3700,Fashion & Retail,Germany,TRUE,M,Europe,old age
801,William Lauder,61,3700,Fashion & Retail,United States,FALSE,M,North America,old age
801,Richard LeFrak & family,76,3700,Real Estate,United States,FALSE,M,North America,old age
801,Li Guoqiang,58,3700,Automotive,China,TRUE,M,Asia,middle age
801,Low Tuck Kwong,73,3700,Energy,Indonesia,TRUE,M,Asia,old age
801,Akira Mori & family,85,3700,Real Estate,Japan,FALSE,M,Asia,old age
801,Anthony Pritzker,61,3700,Service,United States,FALSE,M,North America,old age
801,Ira Rennert,87,3700,Finance & Investments,United States,TRUE,M,North America,old age
801,"Bernard Saul, II.",89,3700,Finance & Investments,United States,FALSE,M,North America,old age
801,Shi Yonghong & family,53,3700,Food & Beverage,China,TRUE,M,Asia,middle age
801,Song Chi-hyung,43,3700,Finance & Investments,South Korea,TRUE,M,Asia,youth
801,Steven Spielberg,75,3700,Media & Entertainment,United States,TRUE,M,North America,old age
801,Wong Luen Hei,60,3700,Manufacturing,China,TRUE,M,Asia,middle age
822,Danielle Bellon & family,82,3600,Service,France,FALSE,F,Europe,old age
822,Byju Raveendran and Divya Gokulnath,40,3600,Technology,India,TRUE,,Asia,youth
822,Cho Tak Wong,75,3600,Manufacturing,Hong Kong,TRUE,M,,old age
822,Charles Cohen,70,3600,Real Estate,United States,FALSE,M,North America,old age
822,Kenneth Dart,66,3600,Finance & Investments,Belize,FALSE,M,North America,old age
822,Martin Ebner,76,3600,Finance & Investments,Switzerland,TRUE,M,Europe,old age
822,David Filo,55,3600,Technology,United States,TRUE,M,North America,middle age
822,Miguel Fluxa Rossello,83,3600,Service,Spain,FALSE,M,Europe,old age
822,John Henry,72,3600,Sports,United States,TRUE,M,North America,old age
822,Hu Kaijun,60,3600,Healthcare,China,TRUE,M,Asia,middle age
822,Peter Kellogg,79,3600,Finance & Investments,United States,FALSE,M,North America,old age
822,James Leprino,84,3600,Food & Beverage,United States,FALSE,M,North America,old age
822,Iskander Makhmudov,58,3600,Metals & Mining,Russia,TRUE,M,Europe,middle age
822,Daniel Mate,58,3600,Metals & Mining,Spain,TRUE,M,Europe,middle age
822,Aristotelis Mistakidis,60,3600,Metals & Mining,Greece,TRUE,M,Europe,middle age
822,Arturo Moreno,75,3600,Sports,United States,TRUE,M,North America,old age
822,Nan Cunhui,58,3600,Manufacturing,China,TRUE,M,Asia,middle age
822,Julio Ponce Lerou,76,3600,Metals & Mining,Chile,TRUE,M,South America,old age
822,J.B. Pritzker,57,3600,Finance & Investments,United States,FALSE,M,North America,middle age
822,Chandru Raheja,81,3600,Real Estate,India,FALSE,M,Asia,old age
822,Rodger Riney & family,76,3600,Finance & Investments,United States,TRUE,M,North America,old age
822,Shi Yuzhu,59,3600,Diversified,China,TRUE,M,Asia,middle age
822,Zuowen Song,75,3600,Diversified,China,TRUE,M,Asia,old age
822,Jerry Speyer,81,3600,Real Estate,United States,TRUE,M,North America,old age
822,Julia Thiele-Schuerhoff,50,3600,Manufacturing,Germany,FALSE,F,Europe,middle age
822,Tung Chee Chen,79,3600,Logistics,Hong Kong,FALSE,M,,old age
822,Roger Wang,73,3600,Fashion & Retail,United States,TRUE,M,North America,old age
822,Wu Shaoxun,66,3600,Food & Beverage,China,TRUE,M,Asia,old age
822,Wenzhong Zhang,60,3600,Fashion & Retail,China,TRUE,M,Asia,middle age
851,Chen Kaixuan,63,3500,Manufacturing,China,TRUE,M,Asia,old age
851,Beatriz Davila de Santo Domingo,83,3500,Food & Beverage,Colombia,FALSE,F,South America,old age
851,Antonio Del Valle Ruiz & family,83,3500,Manufacturing,Mexico,TRUE,M,North America,old age
851,Carl Douglas,60,3500,Diversified,Sweden,FALSE,M,Europe,middle age
851,Eric Douglas,53,3500,Diversified,Sweden,FALSE,M,Europe,middle age
851,Jiangtao Du & family,52,3500,Manufacturing,China,TRUE,M,Asia,middle age
851,Juan Carlos Escotet,62,3500,Finance & Investments,Venezuela,TRUE,M,South America,old age
851,Fiona Geminder,57,3500,Manufacturing,Australia,FALSE,F,Australia,middle age
851,Yuhua Gu & family,72,3500,Manufacturing,China,TRUE,M,Asia,old age
851,James Irsay,62,3500,Sports,United States,FALSE,M,North America,old age
851,Kuok Khoon Hong,72,3500,Manufacturing,Singapore,FALSE,M,Asia,old age
851,Aerin Lauder,51,3500,Fashion & Retail,United States,FALSE,F,North America,middle age
851,Lee Seo-hyun,48,3500,Diversified,South Korea,FALSE,F,Asia,middle age
851,Li Yongxin & family,46,3500,Service,China,TRUE,M,Asia,middle age
851,Jeffrey Lurie,70,3500,Sports,United States,FALSE,M,North America,old age
851,Mary Alice Dorrance Malone,72,3500,Food & Beverage,United States,FALSE,F,North America,old age
851,Ronald McAulay,86,3500,Energy,Hong Kong,FALSE,M,,old age
851,Apoorva Mehta,35,3500,Technology,Canada,TRUE,M,North America,youth
851,Arnon Milchan,77,3500,Media & Entertainment,Israel,TRUE,M,Asia,old age
851,Masahiro Noda,83,3500,Technology,Japan,TRUE,M,Asia,old age
851,Maren Otto,,3500,Diversified,Germany,FALSE,F,Europe,NA
851,Renzo Rosso & family,66,3500,Fashion & Retail,Italy,TRUE,M,Europe,old age
851,Lynn Schusterman,83,3500,Energy,United States,FALSE,F,North America,old age
851,Gil Shwed,53,3500,Technology,Israel,TRUE,M,Asia,middle age
851,Thomas Siebel,69,3500,Technology,United States,TRUE,M,North America,old age
851,Herb Simon,87,3500,Real Estate,United States,TRUE,M,North America,old age
851,Friede Springer,79,3500,Media & Entertainment,Germany,FALSE,F,Europe,old age
851,Wang Zhenhua,60,3500,Real Estate,China,TRUE,M,Asia,middle age
851,Hans Peter Wild,80,3500,Food & Beverage,Switzerland,FALSE,M,Europe,old age
851,"William Wrigley, Jr.",58,3500,Food & Beverage,United States,FALSE,M,North America,middle age
851,Xia Zuoquan,60,3500,Automotive,China,TRUE,M,Asia,middle age
851,Xue Hua,52,3500,Manufacturing,China,TRUE,M,Asia,middle age
883,Mohed Altrad,74,3400,Construction & Engineering,France,TRUE,M,Europe,old age
883,Sid Bass,79,3400,Energy,United States,FALSE,M,North America,old age
883,Nick Caporella,86,3400,Food & Beverage,United States,TRUE,M,North America,old age
883,Cheng Yixiao,38,3400,Media & Entertainment,China,TRUE,M,Asia,youth
883,Wesley Edens,60,3400,Finance & Investments,United States,TRUE,M,North America,middle age
883,Behdad Eghbali,45,3400,Finance & Investments,United States,TRUE,M,North America,middle age
883,Archie Aldis Emmerson & family,92,3400,Manufacturing,United States,TRUE,M,North America,old age
883,Jose E. Feliciano,48,3400,Finance & Investments,United States,TRUE,M,North America,middle age
883,Fu Liquan & family,54,3400,Technology,China,TRUE,M,Asia,middle age
883,David Gottesman,95,3400,Finance & Investments,United States,TRUE,M,North America,old age
883,Laurence Graff & family,83,3400,Fashion & Retail,United Kingdom,TRUE,M,Europe,old age
883,Jeff T. Green,45,3400,Media & Entertainment,United States,TRUE,M,North America,middle age
883,Jim Kavanaugh,59,3400,Technology,United States,TRUE,M,North America,middle age
883,Steven Klinsky,65,3400,Finance & Investments,United States,TRUE,M,North America,old age
883,John Middleton,67,3400,Food & Beverage,United States,FALSE,M,North America,old age
883,Jerry Ng,56,3400,Finance & Investments,Indonesia,TRUE,M,Asia,middle age
883,Tengyun Nie & family,46,3400,Service,China,TRUE,M,Asia,middle age
883,Nandan Nilekani,66,3400,Technology,India,TRUE,M,Asia,old age
883,Bob Parsons,71,3400,Technology,United States,TRUE,M,North America,old age
883,Prasert Prasarttong-Osoth,89,3400,Healthcare,Thailand,TRUE,M,Asia,old age
883,Qiu Guanghe & family,70,3400,Fashion & Retail,China,TRUE,M,Asia,old age
883,Richard Sands,71,3400,Food & Beverage,United States,FALSE,M,North America,old age
883,Robert Sands,63,3400,Food & Beverage,United States,FALSE,M,North America,old age
883,T. Denny Sanford,86,3400,Finance & Investments,United States,TRUE,M,North America,old age
883,Naguib Sawiris,67,3400,Telecom,Egypt,FALSE,M,Africa,old age
883,Pavel Tykac,57,3400,Metals & Mining,Czechia,TRUE,M,Europe,middle age
883,Todd Wanek,58,3400,Manufacturing,United States,FALSE,M,North America,middle age
883,Meg Whitman,65,3400,Technology,United States,TRUE,F,North America,old age
883,Michael Xie,53,3400,Technology,United States,TRUE,M,North America,middle age
883,Chenghai Ye & family,78,3400,Healthcare,Hong Kong,TRUE,M,,old age
913,An Kang,73,3300,Healthcare,China,TRUE,M,Asia,old age
913,John Arnold,48,3300,Finance & Investments,United States,TRUE,M,North America,middle age
913,Arun Bharat Ram,81,3300,Manufacturing,India,FALSE,M,Asia,old age
913,Tomasz Biernacki,49,3300,Fashion & Retail,Poland,TRUE,M,Europe,middle age
913,Travis Boersma,51,3300,Food & Beverage,United States,TRUE,M,North America,middle age
913,Chan Tan Ching-fen,,3300,Real Estate,Hong Kong,FALSE,F,,NA
913,Dongsheng Chen,64,3300,Finance & Investments,China,TRUE,M,Asia,old age
913,Jean Coutu & family,94,3300,Fashion & Retail,Canada,TRUE,M,North America,old age
913,Ralph Dommermuth,58,3300,Technology,Germany,TRUE,M,Europe,middle age
913,Walter Faria,67,3300,Food & Beverage,Brazil,TRUE,M,South America,old age
913,Bob Gaglardi,81,3300,Real Estate,Canada,TRUE,M,North America,old age
913,John Gandel,87,3300,Real Estate,Australia,FALSE,M,Australia,old age
913,Xuande Hua & family,78,3300,Healthcare,China,TRUE,M,Asia,old age
913,Micky Jagtiani,70,3300,Fashion & Retail,India,FALSE,M,Asia,old age
913,H. Fisk Johnson,63,3300,Manufacturing,United States,FALSE,M,North America,old age
913,S. Curtis Johnson,66,3300,Manufacturing,United States,FALSE,M,North America,old age
913,Helen Johnson-Leipold,65,3300,Manufacturing,United States,FALSE,F,North America,old age
913,Miguel Krigsner,72,3300,Fashion & Retail,Brazil,TRUE,M,South America,old age
913,Li Jianquan & family,65,3300,Healthcare,Hong Kong,TRUE,M,,old age
913,Lin Ming-hsiung,72,3300,Fashion & Retail,Taiwan,TRUE,M,Asia,old age
913,Winifred J. Marquart,62,3300,Manufacturing,United States,FALSE,F,North America,old age
913,Kiran Mazumdar-Shaw,69,3300,Healthcare,India,TRUE,F,Asia,old age
913,Patrice Motsepe,60,3300,Metals & Mining,South Africa,TRUE,M,,middle age
913,Alfred Oetker,55,3300,Fashion & Retail,Germany,FALSE,M,Europe,middle age
913,Carl Ferdinand Oetker,49,3300,Fashion & Retail,Germany,FALSE,M,Europe,middle age
913,Julia Oetker,43,3300,Fashion & Retail,Germany,FALSE,F,Europe,youth
913,Or Wai Sheun,70,3300,Real Estate,Hong Kong,TRUE,M,,old age
913,Jay Paul,74,3300,Real Estate,United States,TRUE,M,North America,old age
913,Horst Paulmann & family,87,3300,Fashion & Retail,Chile,TRUE,M,South America,old age
913,Theodore Rachmat,78,3300,Diversified,Indonesia,FALSE,M,Asia,old age
913,John Sall,74,3300,Technology,United States,TRUE,M,North America,old age
913,Stefan von Holtzbrinck,58,3300,Media & Entertainment,Germany,FALSE,M,Europe,middle age
913,Nusli Wadia,78,3300,Food & Beverage,India,FALSE,M,Asia,old age
913,Steve Wynn,80,3300,Gambling & Casinos,United States,TRUE,M,North America,old age
913,Yang Weidong & family,53,3300,Manufacturing,China,TRUE,M,Asia,middle age
913,Barry Zekelman,55,3300,Manufacturing,Canada,FALSE,M,North America,middle age
913,Zhang Shilong & family,56,3300,Technology,China,TRUE,M,Asia,middle age
913,Zhong Ruonong & family,59,3300,Manufacturing,China,TRUE,F,Asia,middle age
951,Cameron Adams,42,3200,Technology,Australia,TRUE,M,Australia,youth
951,Dongchen Cai,69,3200,Healthcare,China,TRUE,M,Asia,old age
951,Vanich Chaiyawan,90,3200,Finance & Investments,Thailand,TRUE,M,Asia,old age
951,Andrew & Peggy Cherng,,3200,Food & Beverage,United States,TRUE,,North America,NA
951,James Clark,78,3200,Technology,United States,TRUE,M,North America,old age
951,Jack Cowin,79,3200,Food & Beverage,Australia,TRUE,M,Australia,old age
951,Giuseppe Crippa & family,86,3200,Manufacturing,Italy,TRUE,M,Europe,old age
951,Sergei Galitsky,54,3200,Fashion & Retail,Russia,TRUE,M,Europe,middle age
